stripe index = 0
numRows = 16384, numCols = 16384, numValues = 16384, sparsity = 99.993896484375%, tolerance = 1e-05, totalCycles = 32090, cyclesPerValue = 1.9586181640625
numRows = 16384, numCols = 16384, numValues = 720896, sparsity = 99.7314453125%, tolerance = 1e-05, totalCycles = 1652531, cyclesPerValue = 2.292329268022017
numRows = 16384, numCols = 16384, numValues = 737280, sparsity = 99.725341796875%, tolerance = 1e-05, totalCycles = 1781822, cyclesPerValue = 2.416750759548611
numRows = 16384, numCols = 16384, numValues = 753664, sparsity = 99.71923828125%, tolerance = 1e-05, totalCycles = 1908415, cyclesPerValue = 2.532182776409647
numRows = 16384, numCols = 16384, numValues = 770048, sparsity = 99.713134765625%, tolerance = 1e-05, totalCycles = 2041394, cyclesPerValue = 2.650995782081117
numRows = 16384, numCols = 16384, numValues = 786432, sparsity = 99.70703125%, tolerance = 1e-05, totalCycles = 2180056, cyclesPerValue = 2.7720845540364585
numRows = 16384, numCols = 16384, numValues = 802816, sparsity = 99.700927734375%, tolerance = 1e-05, totalCycles = 2317511, cyclesPerValue = 2.8867274693080356
numRows = 16384, numCols = 16384, numValues = 819200, sparsity = 99.69482421875%, tolerance = 1e-05, totalCycles = 2460015, cyclesPerValue = 3.002947998046875
numRows = 16384, numCols = 16384, numValues = 835584, sparsity = 99.688720703125%, tolerance = 1e-05, totalCycles = 2601530, cyclesPerValue = 3.1134272556678924
numRows = 16384, numCols = 16384, numValues = 851968, sparsity = 99.6826171875%, tolerance = 1e-05, totalCycles = 2745647, cyclesPerValue = 3.222711416391226
numRows = 16384, numCols = 16384, numValues = 868352, sparsity = 99.676513671875%, tolerance = 1e-05, totalCycles = 2890388, cyclesPerValue = 3.328590249115566
numRows = 16384, numCols = 16384, numValues = 884736, sparsity = 99.67041015625%, tolerance = 1e-05, totalCycles = 3035427, cyclesPerValue = 3.4308844672309027
numRows = 16384, numCols = 16384, numValues = 901120, sparsity = 99.664306640625%, tolerance = 1e-05, totalCycles = 3181249, cyclesPerValue = 3.530327814275568
numRows = 16384, numCols = 16384, numValues = 917504, sparsity = 99.658203125%, tolerance = 1e-05, totalCycles = 3329223, cyclesPerValue = 3.628565107073103
numRows = 16384, numCols = 16384, numValues = 933888, sparsity = 99.652099609375%, tolerance = 1e-05, totalCycles = 3475694, cyclesPerValue = 3.7217460766173245
numRows = 16384, numCols = 16384, numValues = 950272, sparsity = 99.64599609375%, tolerance = 1e-05, totalCycles = 3622619, cyclesPerValue = 3.8121916672279097
numRows = 16384, numCols = 16384, numValues = 966656, sparsity = 99.639892578125%, tolerance = 1e-05, totalCycles = 3769444, cyclesPerValue = 3.8994678561970337
numRows = 16384, numCols = 16384, numValues = 983040, sparsity = 99.6337890625%, tolerance = 1e-05, totalCycles = 3916608, cyclesPerValue = 3.9841796875
numRows = 16384, numCols = 16384, numValues = 999424, sparsity = 99.627685546875%, tolerance = 1e-05, totalCycles = 4064091, cyclesPerValue = 4.066433265560963
numRows = 16384, numCols = 16384, numValues = 1015808, sparsity = 99.62158203125%, tolerance = 1e-05, totalCycles = 4211318, cyclesPerValue = 4.145781486265121
numRows = 16384, numCols = 16384, numValues = 1032192, sparsity = 99.615478515625%, tolerance = 1e-05, totalCycles = 4358747, cyclesPerValue = 4.222806415860615
numRows = 16384, numCols = 16384, numValues = 1048576, sparsity = 99.609375%, tolerance = 1e-05, totalCycles = 4506155, cyclesPerValue = 4.2974042892456055
numRows = 16384, numCols = 16384, numValues = 1064960, sparsity = 99.603271484375%, tolerance = 1e-05, totalCycles = 4653555, cyclesPerValue = 4.369699331430288
numRows = 16384, numCols = 16384, numValues = 1081344, sparsity = 99.59716796875%, tolerance = 1e-05, totalCycles = 4800990, cyclesPerValue = 4.439835981889204
numRows = 16384, numCols = 16384, numValues = 1097728, sparsity = 99.591064453125%, tolerance = 1e-05, totalCycles = 4948432, cyclesPerValue = 4.507885377798507
numRows = 16384, numCols = 16384, numValues = 1114112, sparsity = 99.5849609375%, tolerance = 1e-05, totalCycles = 5095888, cyclesPerValue = 4.573945886948529
numRows = 16384, numCols = 16384, numValues = 1130496, sparsity = 99.578857421875%, tolerance = 1e-05, totalCycles = 5243344, cyclesPerValue = 4.638091598731884
numRows = 16384, numCols = 16384, numValues = 1146880, sparsity = 99.57275390625%, tolerance = 1e-05, totalCycles = 5390805, cyclesPerValue = 4.700408935546875
numRows = 16384, numCols = 16384, numValues = 1163264, sparsity = 99.566650390625%, tolerance = 1e-05, totalCycles = 5538261, cyclesPerValue = 4.760966556172975
numRows = 16384, numCols = 16384, numValues = 1179648, sparsity = 99.560546875%, tolerance = 1e-05, totalCycles = 5685712, cyclesPerValue = 4.819837782118055
numRows = 16384, numCols = 16384, numValues = 1196032, sparsity = 99.554443359375%, tolerance = 1e-05, totalCycles = 5833168, cyclesPerValue = 4.877100278253424
numRows = 16384, numCols = 16384, numValues = 1212416, sparsity = 99.54833984375%, tolerance = 1e-05, totalCycles = 5980624, cyclesPerValue = 4.932815139358108
numRows = 16384, numCols = 16384, numValues = 1228800, sparsity = 99.542236328125%, tolerance = 1e-05, totalCycles = 6128079, cyclesPerValue = 4.98704345703125
stripe index = 1
numRows = 16384, numCols = 16384, numValues = 16384, sparsity = 99.993896484375%, tolerance = 1e-05, totalCycles = 23893, cyclesPerValue = 1.45831298828125
numRows = 16384, numCols = 16384, numValues = 32768, sparsity = 99.98779296875%, tolerance = 1e-05, totalCycles = 46085, cyclesPerValue = 1.406402587890625
numRows = 16384, numCols = 16384, numValues = 49152, sparsity = 99.981689453125%, tolerance = 1e-05, totalCycles = 69482, cyclesPerValue = 1.4136149088541667
numRows = 16384, numCols = 16384, numValues = 65536, sparsity = 99.9755859375%, tolerance = 1e-05, totalCycles = 91883, cyclesPerValue = 1.4020233154296875
numRows = 16384, numCols = 16384, numValues = 81920, sparsity = 99.969482421875%, tolerance = 1e-05, totalCycles = 114943, cyclesPerValue = 1.40311279296875
numRows = 16384, numCols = 16384, numValues = 98304, sparsity = 99.96337890625%, tolerance = 1e-05, totalCycles = 137086, cyclesPerValue = 1.3945109049479167
numRows = 16384, numCols = 16384, numValues = 114688, sparsity = 99.957275390625%, tolerance = 1e-05, totalCycles = 160884, cyclesPerValue = 1.4027971540178572
numRows = 16384, numCols = 16384, numValues = 131072, sparsity = 99.951171875%, tolerance = 1e-05, totalCycles = 183132, cyclesPerValue = 1.397186279296875
numRows = 16384, numCols = 16384, numValues = 147456, sparsity = 99.945068359375%, tolerance = 1e-05, totalCycles = 205714, cyclesPerValue = 1.3950873480902777
numRows = 16384, numCols = 16384, numValues = 163840, sparsity = 99.93896484375%, tolerance = 1e-05, totalCycles = 228935, cyclesPerValue = 1.397308349609375
numRows = 16384, numCols = 16384, numValues = 180224, sparsity = 99.932861328125%, tolerance = 1e-05, totalCycles = 251725, cyclesPerValue = 1.3967340642755681
numRows = 16384, numCols = 16384, numValues = 196608, sparsity = 99.9267578125%, tolerance = 1e-05, totalCycles = 274876, cyclesPerValue = 1.3980916341145833
numRows = 16384, numCols = 16384, numValues = 212992, sparsity = 99.920654296875%, tolerance = 1e-05, totalCycles = 297676, cyclesPerValue = 1.3975923978365385
numRows = 16384, numCols = 16384, numValues = 229376, sparsity = 99.91455078125%, tolerance = 1e-05, totalCycles = 319608, cyclesPerValue = 1.3933803013392858
numRows = 16384, numCols = 16384, numValues = 245760, sparsity = 99.908447265625%, tolerance = 1e-05, totalCycles = 342949, cyclesPerValue = 1.3954630533854167
numRows = 16384, numCols = 16384, numValues = 262144, sparsity = 99.90234375%, tolerance = 1e-05, totalCycles = 365588, cyclesPerValue = 1.3946075439453125
numRows = 16384, numCols = 16384, numValues = 278528, sparsity = 99.896240234375%, tolerance = 1e-05, totalCycles = 387963, cyclesPerValue = 1.392904842601103
numRows = 16384, numCols = 16384, numValues = 294912, sparsity = 99.89013671875%, tolerance = 1e-05, totalCycles = 409029, cyclesPerValue = 1.3869527180989583
numRows = 16384, numCols = 16384, numValues = 311296, sparsity = 99.884033203125%, tolerance = 1e-05, totalCycles = 432351, cyclesPerValue = 1.3888742547286184
numRows = 16384, numCols = 16384, numValues = 327680, sparsity = 99.8779296875%, tolerance = 1e-05, totalCycles = 454856, cyclesPerValue = 1.3881103515625
numRows = 16384, numCols = 16384, numValues = 344064, sparsity = 99.871826171875%, tolerance = 1e-05, totalCycles = 477589, cyclesPerValue = 1.3880818684895833
numRows = 16384, numCols = 16384, numValues = 360448, sparsity = 99.86572265625%, tolerance = 1e-05, totalCycles = 499413, cyclesPerValue = 1.3855341131036931
numRows = 16384, numCols = 16384, numValues = 376832, sparsity = 99.859619140625%, tolerance = 1e-05, totalCycles = 521334, cyclesPerValue = 1.3834653108016304
numRows = 16384, numCols = 16384, numValues = 393216, sparsity = 99.853515625%, tolerance = 1e-05, totalCycles = 543584, cyclesPerValue = 1.3824055989583333
numRows = 16384, numCols = 16384, numValues = 409600, sparsity = 99.847412109375%, tolerance = 1e-05, totalCycles = 564043, cyclesPerValue = 1.37705810546875
numRows = 16384, numCols = 16384, numValues = 425984, sparsity = 99.84130859375%, tolerance = 1e-05, totalCycles = 586346, cyclesPerValue = 1.3764507587139423
numRows = 16384, numCols = 16384, numValues = 442368, sparsity = 99.835205078125%, tolerance = 1e-05, totalCycles = 608852, cyclesPerValue = 1.3763472945601851
numRows = 16384, numCols = 16384, numValues = 458752, sparsity = 99.8291015625%, tolerance = 1e-05, totalCycles = 632242, cyclesPerValue = 1.3781781877790178
numRows = 16384, numCols = 16384, numValues = 475136, sparsity = 99.822998046875%, tolerance = 1e-05, totalCycles = 652809, cyclesPerValue = 1.3739413557381466
numRows = 16384, numCols = 16384, numValues = 491520, sparsity = 99.81689453125%, tolerance = 1e-05, totalCycles = 675668, cyclesPerValue = 1.3746500651041667
numRows = 16384, numCols = 16384, numValues = 507904, sparsity = 99.810791015625%, tolerance = 1e-05, totalCycles = 696062, cyclesPerValue = 1.3704597719254032
numRows = 16384, numCols = 16384, numValues = 524288, sparsity = 99.8046875%, tolerance = 1e-05, totalCycles = 718648, cyclesPerValue = 1.3707122802734375
numRows = 16384, numCols = 16384, numValues = 540672, sparsity = 99.798583984375%, tolerance = 1e-05, totalCycles = 746064, cyclesPerValue = 1.3798828125
numRows = 16384, numCols = 16384, numValues = 557056, sparsity = 99.79248046875%, tolerance = 1e-05, totalCycles = 785220, cyclesPerValue = 1.4095889820772058
numRows = 16384, numCols = 16384, numValues = 573440, sparsity = 99.786376953125%, tolerance = 1e-05, totalCycles = 835696, cyclesPerValue = 1.4573381696428571
numRows = 16384, numCols = 16384, numValues = 589824, sparsity = 99.7802734375%, tolerance = 1e-05, totalCycles = 896471, cyclesPerValue = 1.519895765516493
numRows = 16384, numCols = 16384, numValues = 606208, sparsity = 99.774169921875%, tolerance = 1e-05, totalCycles = 964248, cyclesPerValue = 1.5906223606418919
numRows = 16384, numCols = 16384, numValues = 622592, sparsity = 99.76806640625%, tolerance = 1e-05, totalCycles = 1039109, cyclesPerValue = 1.6690047414679277
numRows = 16384, numCols = 16384, numValues = 638976, sparsity = 99.761962890625%, tolerance = 1e-05, totalCycles = 1120026, cyclesPerValue = 1.7528451772836537
numRows = 16384, numCols = 16384, numValues = 655360, sparsity = 99.755859375%, tolerance = 1e-05, totalCycles = 1217249, cyclesPerValue = 1.8573745727539062
numRows = 16384, numCols = 16384, numValues = 671744, sparsity = 99.749755859375%, tolerance = 1e-05, totalCycles = 1315804, cyclesPerValue = 1.958787871570122
numRows = 16384, numCols = 16384, numValues = 688128, sparsity = 99.74365234375%, tolerance = 1e-05, totalCycles = 1419942, cyclesPerValue = 2.0634852818080356
numRows = 16384, numCols = 16384, numValues = 704512, sparsity = 99.737548828125%, tolerance = 1e-05, totalCycles = 1535102, cyclesPerValue = 2.178957916969477
numRows = 16384, numCols = 16384, numValues = 720896, sparsity = 99.7314453125%, tolerance = 1e-05, totalCycles = 1655101, cyclesPerValue = 2.2958942760120737
numRows = 16384, numCols = 16384, numValues = 737280, sparsity = 99.725341796875%, tolerance = 1e-05, totalCycles = 1779747, cyclesPerValue = 2.4139363606770834
numRows = 16384, numCols = 16384, numValues = 753664, sparsity = 99.71923828125%, tolerance = 1e-05, totalCycles = 1909216, cyclesPerValue = 2.5332455842391304
numRows = 16384, numCols = 16384, numValues = 770048, sparsity = 99.713134765625%, tolerance = 1e-05, totalCycles = 2043280, cyclesPerValue = 2.6534449800531914
numRows = 16384, numCols = 16384, numValues = 786432, sparsity = 99.70703125%, tolerance = 1e-05, totalCycles = 2179231, cyclesPerValue = 2.7710355122884116
numRows = 16384, numCols = 16384, numValues = 802816, sparsity = 99.700927734375%, tolerance = 1e-05, totalCycles = 2318231, cyclesPerValue = 2.8876243124202805
numRows = 16384, numCols = 16384, numValues = 819200, sparsity = 99.69482421875%, tolerance = 1e-05, totalCycles = 2459616, cyclesPerValue = 3.0024609375
numRows = 16384, numCols = 16384, numValues = 835584, sparsity = 99.688720703125%, tolerance = 1e-05, totalCycles = 2601962, cyclesPerValue = 3.113944259344363
numRows = 16384, numCols = 16384, numValues = 851968, sparsity = 99.6826171875%, tolerance = 1e-05, totalCycles = 2744876, cyclesPerValue = 3.221806452824519
numRows = 16384, numCols = 16384, numValues = 868352, sparsity = 99.676513671875%, tolerance = 1e-05, totalCycles = 2890943, cyclesPerValue = 3.3292293908461086
numRows = 16384, numCols = 16384, numValues = 884736, sparsity = 99.67041015625%, tolerance = 1e-05, totalCycles = 3035897, cyclesPerValue = 3.431415699146412
numRows = 16384, numCols = 16384, numValues = 901120, sparsity = 99.664306640625%, tolerance = 1e-05, totalCycles = 3181609, cyclesPerValue = 3.5307273171164772
numRows = 16384, numCols = 16384, numValues = 917504, sparsity = 99.658203125%, tolerance = 1e-05, totalCycles = 3328786, cyclesPerValue = 3.628088814871652
numRows = 16384, numCols = 16384, numValues = 933888, sparsity = 99.652099609375%, tolerance = 1e-05, totalCycles = 3474999, cyclesPerValue = 3.7210018760279606
numRows = 16384, numCols = 16384, numValues = 950272, sparsity = 99.64599609375%, tolerance = 1e-05, totalCycles = 3622248, cyclesPerValue = 3.8118012526939653
numRows = 16384, numCols = 16384, numValues = 966656, sparsity = 99.639892578125%, tolerance = 1e-05, totalCycles = 3769311, cyclesPerValue = 3.8993302684719278
numRows = 16384, numCols = 16384, numValues = 983040, sparsity = 99.6337890625%, tolerance = 1e-05, totalCycles = 3916674, cyclesPerValue = 3.984246826171875
numRows = 16384, numCols = 16384, numValues = 999424, sparsity = 99.627685546875%, tolerance = 1e-05, totalCycles = 4063853, cyclesPerValue = 4.066195128393955
numRows = 16384, numCols = 16384, numValues = 1015808, sparsity = 99.62158203125%, tolerance = 1e-05, totalCycles = 4211526, cyclesPerValue = 4.14598624936996
numRows = 16384, numCols = 16384, numValues = 1032192, sparsity = 99.615478515625%, tolerance = 1e-05, totalCycles = 4358685, cyclesPerValue = 4.222746349516369
numRows = 16384, numCols = 16384, numValues = 1048576, sparsity = 99.609375%, tolerance = 1e-05, totalCycles = 4506197, cyclesPerValue = 4.2974443435668945
numRows = 16384, numCols = 16384, numValues = 1064960, sparsity = 99.603271484375%, tolerance = 1e-05, totalCycles = 4653549, cyclesPerValue = 4.369693697415865
numRows = 16384, numCols = 16384, numValues = 1081344, sparsity = 99.59716796875%, tolerance = 1e-05, totalCycles = 4801103, cyclesPerValue = 4.439940481474905
numRows = 16384, numCols = 16384, numValues = 1097728, sparsity = 99.591064453125%, tolerance = 1e-05, totalCycles = 4948446, cyclesPerValue = 4.5078981314132465
numRows = 16384, numCols = 16384, numValues = 1114112, sparsity = 99.5849609375%, tolerance = 1e-05, totalCycles = 5095973, cyclesPerValue = 4.5740221808938415
numRows = 16384, numCols = 16384, numValues = 1130496, sparsity = 99.578857421875%, tolerance = 1e-05, totalCycles = 5243344, cyclesPerValue = 4.638091598731884
numRows = 16384, numCols = 16384, numValues = 1146880, sparsity = 99.57275390625%, tolerance = 1e-05, totalCycles = 5390821, cyclesPerValue = 4.700422886439732
numRows = 16384, numCols = 16384, numValues = 1163264, sparsity = 99.566650390625%, tolerance = 1e-05, totalCycles = 5538256, cyclesPerValue = 4.760962257922535
numRows = 16384, numCols = 16384, numValues = 1179648, sparsity = 99.560546875%, tolerance = 1e-05, totalCycles = 5685733, cyclesPerValue = 4.819855584038629
numRows = 16384, numCols = 16384, numValues = 1196032, sparsity = 99.554443359375%, tolerance = 1e-05, totalCycles = 5833168, cyclesPerValue = 4.877100278253424
numRows = 16384, numCols = 16384, numValues = 1212416, sparsity = 99.54833984375%, tolerance = 1e-05, totalCycles = 5980624, cyclesPerValue = 4.932815139358108
numRows = 16384, numCols = 16384, numValues = 1228800, sparsity = 99.542236328125%, tolerance = 1e-05, totalCycles = 6128080, cyclesPerValue = 4.987044270833334
stripe index = 2
numRows = 16384, numCols = 16384, numValues = 16384, sparsity = 99.993896484375%, tolerance = 1e-05, totalCycles = 23933, cyclesPerValue = 1.46075439453125
numRows = 16384, numCols = 16384, numValues = 32768, sparsity = 99.98779296875%, tolerance = 1e-05, totalCycles = 41733, cyclesPerValue = 1.273590087890625
numRows = 16384, numCols = 16384, numValues = 49152, sparsity = 99.981689453125%, tolerance = 1e-05, totalCycles = 61844, cyclesPerValue = 1.2582194010416667
numRows = 16384, numCols = 16384, numValues = 65536, sparsity = 99.9755859375%, tolerance = 1e-05, totalCycles = 82325, cyclesPerValue = 1.2561798095703125
numRows = 16384, numCols = 16384, numValues = 81920, sparsity = 99.969482421875%, tolerance = 1e-05, totalCycles = 102770, cyclesPerValue = 1.2545166015625
numRows = 16384, numCols = 16384, numValues = 98304, sparsity = 99.96337890625%, tolerance = 1e-05, totalCycles = 123142, cyclesPerValue = 1.2526652018229167
numRows = 16384, numCols = 16384, numValues = 114688, sparsity = 99.957275390625%, tolerance = 1e-05, totalCycles = 143601, cyclesPerValue = 1.2521013532366072
numRows = 16384, numCols = 16384, numValues = 131072, sparsity = 99.951171875%, tolerance = 1e-05, totalCycles = 164160, cyclesPerValue = 1.25244140625
numRows = 16384, numCols = 16384, numValues = 147456, sparsity = 99.945068359375%, tolerance = 1e-05, totalCycles = 184666, cyclesPerValue = 1.2523464626736112
numRows = 16384, numCols = 16384, numValues = 163840, sparsity = 99.93896484375%, tolerance = 1e-05, totalCycles = 205145, cyclesPerValue = 1.252105712890625
numRows = 16384, numCols = 16384, numValues = 180224, sparsity = 99.932861328125%, tolerance = 1e-05, totalCycles = 225692, cyclesPerValue = 1.2522860440340908
numRows = 16384, numCols = 16384, numValues = 196608, sparsity = 99.9267578125%, tolerance = 1e-05, totalCycles = 246184, cyclesPerValue = 1.2521565755208333
numRows = 16384, numCols = 16384, numValues = 212992, sparsity = 99.920654296875%, tolerance = 1e-05, totalCycles = 266696, cyclesPerValue = 1.2521409254807692
numRows = 16384, numCols = 16384, numValues = 229376, sparsity = 99.91455078125%, tolerance = 1e-05, totalCycles = 287149, cyclesPerValue = 1.2518702915736608
numRows = 16384, numCols = 16384, numValues = 245760, sparsity = 99.908447265625%, tolerance = 1e-05, totalCycles = 307608, cyclesPerValue = 1.25166015625
numRows = 16384, numCols = 16384, numValues = 262144, sparsity = 99.90234375%, tolerance = 1e-05, totalCycles = 328101, cyclesPerValue = 1.2516059875488281
numRows = 16384, numCols = 16384, numValues = 278528, sparsity = 99.896240234375%, tolerance = 1e-05, totalCycles = 348574, cyclesPerValue = 1.251486385569853
numRows = 16384, numCols = 16384, numValues = 294912, sparsity = 99.89013671875%, tolerance = 1e-05, totalCycles = 368969, cyclesPerValue = 1.2511155870225694
numRows = 16384, numCols = 16384, numValues = 311296, sparsity = 99.884033203125%, tolerance = 1e-05, totalCycles = 389464, cyclesPerValue = 1.2511050575657894
numRows = 16384, numCols = 16384, numValues = 327680, sparsity = 99.8779296875%, tolerance = 1e-05, totalCycles = 410156, cyclesPerValue = 1.25169677734375
numRows = 16384, numCols = 16384, numValues = 344064, sparsity = 99.871826171875%, tolerance = 1e-05, totalCycles = 430636, cyclesPerValue = 1.251615978422619
numRows = 16384, numCols = 16384, numValues = 360448, sparsity = 99.86572265625%, tolerance = 1e-05, totalCycles = 451143, cyclesPerValue = 1.251617431640625
numRows = 16384, numCols = 16384, numValues = 376832, sparsity = 99.859619140625%, tolerance = 1e-05, totalCycles = 471590, cyclesPerValue = 1.2514595363451086
numRows = 16384, numCols = 16384, numValues = 393216, sparsity = 99.853515625%, tolerance = 1e-05, totalCycles = 492372, cyclesPerValue = 1.252166748046875
numRows = 16384, numCols = 16384, numValues = 409600, sparsity = 99.847412109375%, tolerance = 1e-05, totalCycles = 513373, cyclesPerValue = 1.25335205078125
numRows = 16384, numCols = 16384, numValues = 425984, sparsity = 99.84130859375%, tolerance = 1e-05, totalCycles = 534822, cyclesPerValue = 1.2554978590745192
numRows = 16384, numCols = 16384, numValues = 442368, sparsity = 99.835205078125%, tolerance = 1e-05, totalCycles = 557233, cyclesPerValue = 1.2596593786168981
numRows = 16384, numCols = 16384, numValues = 458752, sparsity = 99.8291015625%, tolerance = 1e-05, totalCycles = 581299, cyclesPerValue = 1.2671312604631697
