Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2024 Advanced Micro Devices, Inc. All Rights Reserved.
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2024.1 (lin64) Build 5076996 Wed May 22 18:36:09 MDT 2024
| Date         : Tue Dec 31 18:17:49 2024
| Host         : lap-inf133 running 64-bit Ubuntu 24.04.1 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -file /janberq/repos/jnbrq/hbmex-sw/results/synth/SpmvExp3_impl3_utilization_hier.post_pr.txt
| Design       : bd_top_wrapper
| Device       : xcu55c-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Routed
----------------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|                                              Instance                                             |                                        Module                                        | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|               ram_ext                                                                             |                                                     bd_top_SpmvExp3_0_0_ram_2x8_1101 |         10 |          2 |       8 |    0 |     0 |      0 |      0 |    0 |          0 |
|             write_idQueue                                                                         |                                               bd_top_SpmvExp3_0_0_Queue64_UInt8_1100 |          5 |          5 |       0 |    0 |     6 |      0 |      0 |    0 |          0 |
|           idSerialize3                                                                            |                                                  bd_top_SpmvExp3_0_0_IdSerialize_988 |         54 |         36 |      18 |    0 |    41 |      0 |      0 |    0 |          0 |
|             (idSerialize3)                                                                        |                                                  bd_top_SpmvExp3_0_0_IdSerialize_988 |          4 |          4 |       0 |    0 |    19 |      0 |      0 |    0 |          0 |
|             read_idQueue                                                                          |                                               bd_top_SpmvExp3_0_0_Queue64_UInt8_1093 |         28 |         18 |      10 |    0 |    13 |      0 |      0 |    0 |          0 |
|               (read_idQueue)                                                                      |                                               bd_top_SpmvExp3_0_0_Queue64_UInt8_1093 |         10 |         10 |       0 |    0 |    13 |      0 |      0 |    0 |          0 |
|               ram_ext                                                                             |                                                    bd_top_SpmvExp3_0_0_ram_64x8_1097 |         19 |          9 |      10 |    0 |     0 |      0 |      0 |    0 |          0 |
|             read_sinkBuffered__sinkBuffer                                                         |                                                bd_top_SpmvExp3_0_0_Queue2_UInt8_1094 |         17 |          9 |       8 |    0 |     3 |      0 |      0 |    0 |          0 |
|               (read_sinkBuffered__sinkBuffer)                                                     |                                                bd_top_SpmvExp3_0_0_Queue2_UInt8_1094 |          7 |          7 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|               ram_ext                                                                             |                                                     bd_top_SpmvExp3_0_0_ram_2x8_1096 |         10 |          2 |       8 |    0 |     0 |      0 |      0 |    0 |          0 |
|             write_idQueue                                                                         |                                               bd_top_SpmvExp3_0_0_Queue64_UInt8_1095 |          5 |          5 |       0 |    0 |     6 |      0 |      0 |    0 |          0 |
|           idSerialize4                                                                            |                                                  bd_top_SpmvExp3_0_0_IdSerialize_989 |         54 |         36 |      18 |    0 |    41 |      0 |      0 |    0 |          0 |
|             (idSerialize4)                                                                        |                                                  bd_top_SpmvExp3_0_0_IdSerialize_989 |          4 |          4 |       0 |    0 |    19 |      0 |      0 |    0 |          0 |
|             read_idQueue                                                                          |                                               bd_top_SpmvExp3_0_0_Queue64_UInt8_1088 |         28 |         18 |      10 |    0 |    13 |      0 |      0 |    0 |          0 |
|               (read_idQueue)                                                                      |                                               bd_top_SpmvExp3_0_0_Queue64_UInt8_1088 |         10 |         10 |       0 |    0 |    13 |      0 |      0 |    0 |          0 |
|               ram_ext                                                                             |                                                    bd_top_SpmvExp3_0_0_ram_64x8_1092 |         19 |          9 |      10 |    0 |     0 |      0 |      0 |    0 |          0 |
|             read_sinkBuffered__sinkBuffer                                                         |                                                bd_top_SpmvExp3_0_0_Queue2_UInt8_1089 |         17 |          9 |       8 |    0 |     3 |      0 |      0 |    0 |          0 |
|               (read_sinkBuffered__sinkBuffer)                                                     |                                                bd_top_SpmvExp3_0_0_Queue2_UInt8_1089 |          7 |          7 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|               ram_ext                                                                             |                                                     bd_top_SpmvExp3_0_0_ram_2x8_1091 |         10 |          2 |       8 |    0 |     0 |      0 |      0 |    0 |          0 |
|             write_idQueue                                                                         |                                               bd_top_SpmvExp3_0_0_Queue64_UInt8_1090 |          5 |          5 |       0 |    0 |     6 |      0 |      0 |    0 |          0 |
|           idSerialize5                                                                            |                                                  bd_top_SpmvExp3_0_0_IdSerialize_990 |         55 |         37 |      18 |    0 |    41 |      0 |      0 |    0 |          0 |
|             (idSerialize5)                                                                        |                                                  bd_top_SpmvExp3_0_0_IdSerialize_990 |          4 |          4 |       0 |    0 |    19 |      0 |      0 |    0 |          0 |
|             read_idQueue                                                                          |                                               bd_top_SpmvExp3_0_0_Queue64_UInt8_1083 |         29 |         19 |      10 |    0 |    13 |      0 |      0 |    0 |          0 |
|               (read_idQueue)                                                                      |                                               bd_top_SpmvExp3_0_0_Queue64_UInt8_1083 |         10 |         10 |       0 |    0 |    13 |      0 |      0 |    0 |          0 |
|               ram_ext                                                                             |                                                    bd_top_SpmvExp3_0_0_ram_64x8_1087 |         19 |          9 |      10 |    0 |     0 |      0 |      0 |    0 |          0 |
|             read_sinkBuffered__sinkBuffer                                                         |                                                bd_top_SpmvExp3_0_0_Queue2_UInt8_1084 |         17 |          9 |       8 |    0 |     3 |      0 |      0 |    0 |          0 |
|               (read_sinkBuffered__sinkBuffer)                                                     |                                                bd_top_SpmvExp3_0_0_Queue2_UInt8_1084 |          7 |          7 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|               ram_ext                                                                             |                                                     bd_top_SpmvExp3_0_0_ram_2x8_1086 |         10 |          2 |       8 |    0 |     0 |      0 |      0 |    0 |          0 |
|             write_idQueue                                                                         |                                               bd_top_SpmvExp3_0_0_Queue64_UInt8_1085 |          5 |          5 |       0 |    0 |     6 |      0 |      0 |    0 |          0 |
|           idSerialize6                                                                            |                                                  bd_top_SpmvExp3_0_0_IdSerialize_991 |         54 |         36 |      18 |    0 |    41 |      0 |      0 |    0 |          0 |
|             (idSerialize6)                                                                        |                                                  bd_top_SpmvExp3_0_0_IdSerialize_991 |          4 |          4 |       0 |    0 |    19 |      0 |      0 |    0 |          0 |
|             read_idQueue                                                                          |                                               bd_top_SpmvExp3_0_0_Queue64_UInt8_1078 |         28 |         18 |      10 |    0 |    13 |      0 |      0 |    0 |          0 |
|               (read_idQueue)                                                                      |                                               bd_top_SpmvExp3_0_0_Queue64_UInt8_1078 |         10 |         10 |       0 |    0 |    13 |      0 |      0 |    0 |          0 |
|               ram_ext                                                                             |                                                    bd_top_SpmvExp3_0_0_ram_64x8_1082 |         19 |          9 |      10 |    0 |     0 |      0 |      0 |    0 |          0 |
|             read_sinkBuffered__sinkBuffer                                                         |                                                bd_top_SpmvExp3_0_0_Queue2_UInt8_1079 |         17 |          9 |       8 |    0 |     3 |      0 |      0 |    0 |          0 |
|               (read_sinkBuffered__sinkBuffer)                                                     |                                                bd_top_SpmvExp3_0_0_Queue2_UInt8_1079 |          7 |          7 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|               ram_ext                                                                             |                                                     bd_top_SpmvExp3_0_0_ram_2x8_1081 |         10 |          2 |       8 |    0 |     0 |      0 |      0 |    0 |          0 |
|             write_idQueue                                                                         |                                               bd_top_SpmvExp3_0_0_Queue64_UInt8_1080 |          5 |          5 |       0 |    0 |     6 |      0 |      0 |    0 |          0 |
|           idSerialize7                                                                            |                                                  bd_top_SpmvExp3_0_0_IdSerialize_992 |         54 |         36 |      18 |    0 |    41 |      0 |      0 |    0 |          0 |
|             (idSerialize7)                                                                        |                                                  bd_top_SpmvExp3_0_0_IdSerialize_992 |          4 |          4 |       0 |    0 |    19 |      0 |      0 |    0 |          0 |
|             read_idQueue                                                                          |                                                    bd_top_SpmvExp3_0_0_Queue64_UInt8 |         28 |         18 |      10 |    0 |    13 |      0 |      0 |    0 |          0 |
|               (read_idQueue)                                                                      |                                                    bd_top_SpmvExp3_0_0_Queue64_UInt8 |         10 |         10 |       0 |    0 |    13 |      0 |      0 |    0 |          0 |
|               ram_ext                                                                             |                                                         bd_top_SpmvExp3_0_0_ram_64x8 |         19 |          9 |      10 |    0 |     0 |      0 |      0 |    0 |          0 |
|             read_sinkBuffered__sinkBuffer                                                         |                                                     bd_top_SpmvExp3_0_0_Queue2_UInt8 |         17 |          9 |       8 |    0 |     3 |      0 |      0 |    0 |          0 |
|               (read_sinkBuffered__sinkBuffer)                                                     |                                                     bd_top_SpmvExp3_0_0_Queue2_UInt8 |          7 |          7 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|               ram_ext                                                                             |                                                          bd_top_SpmvExp3_0_0_ram_2x8 |         10 |          2 |       8 |    0 |     0 |      0 |      0 |    0 |          0 |
|             write_idQueue                                                                         |                                               bd_top_SpmvExp3_0_0_Queue64_UInt8_1077 |          5 |          5 |       0 |    0 |     6 |      0 |      0 |    0 |          0 |
|           mux_                                                                                    |                                                            bd_top_SpmvExp3_0_0_Mux_1 |        146 |        118 |      28 |    0 |    13 |      0 |      0 |    0 |          0 |
|             (mux_)                                                                                |                                                            bd_top_SpmvExp3_0_0_Mux_1 |         10 |         10 |       0 |    0 |     4 |      0 |      0 |    0 |          0 |
|             read_arbiter                                                                          |                                            bd_top_SpmvExp3_0_0_elasticBasicArbiter_8 |        136 |        108 |      28 |    0 |     9 |      0 |      0 |    0 |          0 |
|               (read_arbiter)                                                                      |                                            bd_top_SpmvExp3_0_0_elasticBasicArbiter_8 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|               select_sinkBuffer                                                                   |                                                bd_top_SpmvExp3_0_0_Queue2_UInt3_1076 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|               sink_sinkBuffer                                                                     |                                      bd_top_SpmvExp3_0_0_Queue2_ReadAddressChannel_8 |        134 |        106 |      28 |    0 |     3 |      0 |      0 |    0 |          0 |
|                 (sink_sinkBuffer)                                                                 |                                      bd_top_SpmvExp3_0_0_Queue2_ReadAddressChannel_8 |         13 |         13 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|                 ram_ext                                                                           |                                                         bd_top_SpmvExp3_0_0_ram_2x46 |        121 |         93 |      28 |    0 |     0 |      0 |      0 |    0 |          0 |
|           sinkBuffer                                                                              |                                       bd_top_SpmvExp3_0_0_Queue2_ReadDataChannel_993 |        159 |          7 |     152 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (sinkBuffer)                                                                          |                                       bd_top_SpmvExp3_0_0_Queue2_ReadDataChannel_993 |          6 |          6 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                               |                                                   bd_top_SpmvExp3_0_0_ram_2x259_1075 |        153 |          1 |     152 |    0 |     0 |      0 |      0 |    0 |          0 |
|           sinkBuffer_10                                                                           |                                         bd_top_SpmvExp3_0_0_Queue2_ReadDataChannel_6 |        158 |          4 |     154 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (sinkBuffer_10)                                                                       |                                         bd_top_SpmvExp3_0_0_Queue2_ReadDataChannel_6 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                               |                                                   bd_top_SpmvExp3_0_0_ram_2x267_1074 |        155 |          1 |     154 |    0 |     0 |      0 |      0 |    0 |          0 |
|           sinkBuffer_11                                                                           |                                    bd_top_SpmvExp3_0_0_Queue2_WriteResponseChannel_3 |          4 |          4 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|           sinkBuffer_12                                                                           |                                     bd_top_SpmvExp3_0_0_Queue2_ReadDataChannel_6_994 |        160 |          6 |     154 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (sinkBuffer_12)                                                                       |                                     bd_top_SpmvExp3_0_0_Queue2_ReadDataChannel_6_994 |          5 |          5 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                               |                                                   bd_top_SpmvExp3_0_0_ram_2x267_1073 |        155 |          1 |     154 |    0 |     0 |      0 |      0 |    0 |          0 |
|           sinkBuffer_13                                                                           |                                bd_top_SpmvExp3_0_0_Queue2_WriteResponseChannel_3_995 |          5 |          5 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|           sinkBuffer_14                                                                           |                                     bd_top_SpmvExp3_0_0_Queue2_ReadDataChannel_6_996 |        159 |          5 |     154 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (sinkBuffer_14)                                                                       |                                     bd_top_SpmvExp3_0_0_Queue2_ReadDataChannel_6_996 |          4 |          4 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                               |                                                   bd_top_SpmvExp3_0_0_ram_2x267_1072 |        155 |          1 |     154 |    0 |     0 |      0 |      0 |    0 |          0 |
|           sinkBuffer_15                                                                           |                                bd_top_SpmvExp3_0_0_Queue2_WriteResponseChannel_3_997 |          5 |          5 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|           sinkBuffer_16                                                                           |                                     bd_top_SpmvExp3_0_0_Queue2_ReadDataChannel_6_998 |        159 |          5 |     154 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (sinkBuffer_16)                                                                       |                                     bd_top_SpmvExp3_0_0_Queue2_ReadDataChannel_6_998 |          4 |          4 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                               |                                                   bd_top_SpmvExp3_0_0_ram_2x267_1071 |        155 |          1 |     154 |    0 |     0 |      0 |      0 |    0 |          0 |
|           sinkBuffer_17                                                                           |                                bd_top_SpmvExp3_0_0_Queue2_WriteResponseChannel_3_999 |          4 |          4 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|           sinkBuffer_18                                                                           |                                    bd_top_SpmvExp3_0_0_Queue2_ReadDataChannel_6_1000 |        158 |          4 |     154 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (sinkBuffer_18)                                                                       |                                    bd_top_SpmvExp3_0_0_Queue2_ReadDataChannel_6_1000 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                               |                                                   bd_top_SpmvExp3_0_0_ram_2x267_1070 |        155 |          1 |     154 |    0 |     0 |      0 |      0 |    0 |          0 |
|           sinkBuffer_19                                                                           |                               bd_top_SpmvExp3_0_0_Queue2_WriteResponseChannel_3_1001 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|           sinkBuffer_2                                                                            |                                    bd_top_SpmvExp3_0_0_Queue2_ReadDataChannel_6_1002 |        262 |        108 |     154 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (sinkBuffer_2)                                                                        |                                    bd_top_SpmvExp3_0_0_Queue2_ReadDataChannel_6_1002 |          1 |          1 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                               |                                                   bd_top_SpmvExp3_0_0_ram_2x267_1069 |        261 |        107 |     154 |    0 |     0 |      0 |      0 |    0 |          0 |
|           sinkBuffer_20                                                                           |                                      bd_top_SpmvExp3_0_0_Queue2_ReadDataChannel_1003 |        157 |          5 |     152 |    0 |     3 |      0 |      0 |    0 |          0 |
|             (sinkBuffer_20)                                                                       |                                      bd_top_SpmvExp3_0_0_Queue2_ReadDataChannel_1003 |          4 |          4 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             ram_ext                                                                               |                                                   bd_top_SpmvExp3_0_0_ram_2x259_1068 |        153 |          1 |     152 |    0 |     0 |      0 |      0 |    0 |          0 |
|           sinkBuffer_21                                                                           |                                    bd_top_SpmvExp3_0_0_Queue2_WriteResponseChannel_4 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|           sinkBuffer_22                                                                           |                                      bd_top_SpmvExp3_0_0_Queue2_ReadDataChannel_1004 |        157 |          5 |     152 |    0 |     3 |      0 |      0 |    0 |          0 |
