Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2024 Advanced Micro Devices, Inc. All Rights Reserved.
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2024.1 (lin64) Build 5076996 Wed May 22 18:36:09 MDT 2024
| Date         : Tue Dec 31 18:22:28 2024
| Host         : lap-inf133 running 64-bit Ubuntu 24.04.1 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -file /janberq/repos/jnbrq/hbmex-sw/results/synth/SpmvExp1_impl3_utilization_hier.post_pr.txt
| Design       : bd_top_wrapper
| Device       : xcu55c-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Routed
----------------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+---------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|                                              Instance                                             |                                        Module                                        | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|         sinkBuffer_3                                                                              |                                         bd_top_SpmvExp1_0_0_Queue2_ReadDataChannel_0 |        156 |          4 |     152 |    0 |     3 |      0 |      0 |    0 |          0 |
|           (sinkBuffer_3)                                                                          |                                         bd_top_SpmvExp1_0_0_Queue2_ReadDataChannel_0 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|           ram_ext                                                                                 |                                                    bd_top_SpmvExp1_0_0_ram_2x259_977 |        153 |          1 |     152 |    0 |     0 |      0 |      0 |    0 |          0 |
|         sinkBuffer_4                                                                              |                                  bd_top_SpmvExp1_0_0_Queue2_WriteResponseChannel_4_1 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|         sinkBuffer_5                                                                              |                                         bd_top_SpmvExp1_0_0_Queue2_ReadDataChannel_2 |        155 |          3 |     152 |    0 |     3 |      0 |      0 |    0 |          0 |
|           (sinkBuffer_5)                                                                          |                                         bd_top_SpmvExp1_0_0_Queue2_ReadDataChannel_2 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|           ram_ext                                                                                 |                                                    bd_top_SpmvExp1_0_0_ram_2x259_976 |        153 |          1 |     152 |    0 |     0 |      0 |      0 |    0 |          0 |
|         sinkBuffer_6                                                                              |                                  bd_top_SpmvExp1_0_0_Queue2_WriteResponseChannel_4_3 |          4 |          4 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|         sinkBuffer_7                                                                              |                                        bd_top_SpmvExp1_0_0_Queue2_ReadDataChannel_11 |        155 |          3 |     152 |    0 |     3 |      0 |      0 |    0 |          0 |
|           (sinkBuffer_7)                                                                          |                                        bd_top_SpmvExp1_0_0_Queue2_ReadDataChannel_11 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|           ram_ext                                                                                 |                                                        bd_top_SpmvExp1_0_0_ram_2x261 |        153 |          1 |     152 |    0 |     0 |      0 |      0 |    0 |          0 |
|         sinkBuffer_8                                                                              |                                    bd_top_SpmvExp1_0_0_Queue2_WriteResponseChannel_7 |          7 |          3 |       4 |    0 |     3 |      0 |      0 |    0 |          0 |
|           (sinkBuffer_8)                                                                          |                                    bd_top_SpmvExp1_0_0_Queue2_WriteResponseChannel_7 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|           ram_ext                                                                                 |                                                          bd_top_SpmvExp1_0_0_ram_2x4 |          5 |          1 |       4 |    0 |     0 |      0 |      0 |    0 |          0 |
|         sourceBuffer                                                                              |                                                   bd_top_SpmvExp1_0_0_Queue4_UInt448 |        255 |          7 |     248 |    0 |     6 |      0 |      0 |    0 |          0 |
|           (sourceBuffer)                                                                          |                                                   bd_top_SpmvExp1_0_0_Queue4_UInt448 |          6 |          6 |       0 |    0 |     6 |      0 |      0 |    0 |          0 |
|           ram_ext                                                                                 |                                                        bd_top_SpmvExp1_0_0_ram_4x448 |        249 |          1 |     248 |    0 |     0 |      0 |      0 |    0 |          0 |
|         sourceBuffer_1                                                                            |                                      bd_top_SpmvExp1_0_0_Queue2_ReadAddressChannel_9 |         29 |          5 |      24 |    0 |     3 |      0 |      0 |    0 |          0 |
|           (sourceBuffer_1)                                                                        |                                      bd_top_SpmvExp1_0_0_Queue2_ReadAddressChannel_9 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|           ram_ext                                                                                 |                                                         bd_top_SpmvExp1_0_0_ram_2x63 |         28 |          4 |      24 |    0 |     0 |      0 |      0 |    0 |          0 |
|         sourceBuffer_10                                                                           |                                      bd_top_SpmvExp1_0_0_Queue2_ReadAddressChannel_6 |         39 |          3 |      36 |    0 |     3 |      0 |      0 |    0 |          0 |
|           (sourceBuffer_10)                                                                       |                                      bd_top_SpmvExp1_0_0_Queue2_ReadAddressChannel_6 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|           ram_ext                                                                                 |                                                     bd_top_SpmvExp1_0_0_ram_2x75_975 |         37 |          1 |      36 |    0 |     0 |      0 |      0 |    0 |          0 |
|         sourceBuffer_11                                                                           |                                     bd_top_SpmvExp1_0_0_Queue2_WriteAddressChannel_1 |         39 |          3 |      36 |    0 |     3 |      0 |      0 |    0 |          0 |
|           (sourceBuffer_11)                                                                       |                                     bd_top_SpmvExp1_0_0_Queue2_WriteAddressChannel_1 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|           ram_ext                                                                                 |                                                     bd_top_SpmvExp1_0_0_ram_2x75_974 |         37 |          1 |      36 |    0 |     0 |      0 |      0 |    0 |          0 |
|         sourceBuffer_12                                                                           |                                          bd_top_SpmvExp1_0_0_Queue2_WriteDataChannel |        172 |          4 |     168 |    0 |     3 |      0 |      0 |    0 |          0 |
|           (sourceBuffer_12)                                                                       |                                          bd_top_SpmvExp1_0_0_Queue2_WriteDataChannel |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|           ram_ext                                                                                 |                                                    bd_top_SpmvExp1_0_0_ram_2x289_973 |        169 |          1 |     168 |    0 |     0 |      0 |      0 |    0 |          0 |
|         sourceBuffer_4                                                                            |                                      bd_top_SpmvExp1_0_0_Queue2_ReadAddressChannel_7 |         29 |          5 |      24 |    0 |     3 |      0 |      0 |    0 |          0 |
|           (sourceBuffer_4)                                                                        |                                      bd_top_SpmvExp1_0_0_Queue2_ReadAddressChannel_7 |          5 |          5 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|           ram_ext                                                                                 |                                                     bd_top_SpmvExp1_0_0_ram_2x93_972 |         24 |          0 |      24 |    0 |     0 |      0 |      0 |    0 |          0 |
|         sourceBuffer_7                                                                            |                                    bd_top_SpmvExp1_0_0_Queue2_ReadAddressChannel_7_4 |         28 |          4 |      24 |    0 |     3 |      0 |      0 |    0 |          0 |
|           (sourceBuffer_7)                                                                        |                                    bd_top_SpmvExp1_0_0_Queue2_ReadAddressChannel_7_4 |          4 |          4 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|           ram_ext                                                                                 |                                                     bd_top_SpmvExp1_0_0_ram_2x93_971 |         24 |          0 |      24 |    0 |     0 |      0 |      0 |    0 |          0 |
|         spmv0                                                                                     |                                                             bd_top_SpmvExp1_0_0_Spmv |      83277 |      44314 |   38958 |    5 | 12422 |      0 |      0 |    0 |         16 |
|           (spmv0)                                                                                 |                                                             bd_top_SpmvExp1_0_0_Spmv |          1 |          1 |       0 |    0 |    69 |      0 |      0 |    0 |          0 |
|           batchMultiply                                                                           |                                                    bd_top_SpmvExp1_0_0_BatchMultiply |       2335 |       2186 |     148 |    1 |   889 |      0 |      0 |    0 |         16 |
|             multiply0                                                                             |                                                       bd_top_SpmvExp1_0_0_OpMultiply |        262 |        262 |       0 |    0 |   108 |      0 |      0 |    0 |          2 |
|               module_0                                                                            |                                         bd_top_SpmvExp1_0_0_MulFp_Pipelined_8_23_965 |        262 |        262 |       0 |    0 |   108 |      0 |      0 |    0 |          2 |
|                 mulRecFn                                                                          |                                      bd_top_SpmvExp1_0_0_MulRecFN_Pipelined_8_24_966 |        262 |        262 |       0 |    0 |   108 |      0 |      0 |    0 |          2 |
|             multiply1                                                                             |                                                   bd_top_SpmvExp1_0_0_OpMultiply_917 |        264 |        264 |       0 |    0 |   108 |      0 |      0 |    0 |          2 |
|               module_0                                                                            |                                         bd_top_SpmvExp1_0_0_MulFp_Pipelined_8_23_959 |        264 |        264 |       0 |    0 |   108 |      0 |      0 |    0 |          2 |
|                 mulRecFn                                                                          |                                      bd_top_SpmvExp1_0_0_MulRecFN_Pipelined_8_24_960 |        264 |        264 |       0 |    0 |   108 |      0 |      0 |    0 |          2 |
|             multiply2                                                                             |                                                   bd_top_SpmvExp1_0_0_OpMultiply_918 |        264 |        264 |       0 |    0 |   108 |      0 |      0 |    0 |          2 |
|               module_0                                                                            |                                         bd_top_SpmvExp1_0_0_MulFp_Pipelined_8_23_953 |        264 |        264 |       0 |    0 |   108 |      0 |      0 |    0 |          2 |
|                 mulRecFn                                                                          |                                      bd_top_SpmvExp1_0_0_MulRecFN_Pipelined_8_24_954 |        264 |        264 |       0 |    0 |   108 |      0 |      0 |    0 |          2 |
|             multiply3                                                                             |                                                   bd_top_SpmvExp1_0_0_OpMultiply_919 |        263 |        263 |       0 |    0 |   108 |      0 |      0 |    0 |          2 |
|               module_0                                                                            |                                         bd_top_SpmvExp1_0_0_MulFp_Pipelined_8_23_947 |        263 |        263 |       0 |    0 |   108 |      0 |      0 |    0 |          2 |
|                 mulRecFn                                                                          |                                      bd_top_SpmvExp1_0_0_MulRecFN_Pipelined_8_24_948 |        263 |        263 |       0 |    0 |   108 |      0 |      0 |    0 |          2 |
|             multiply4                                                                             |                                                   bd_top_SpmvExp1_0_0_OpMultiply_920 |        264 |        264 |       0 |    0 |   108 |      0 |      0 |    0 |          2 |
|               module_0                                                                            |                                         bd_top_SpmvExp1_0_0_MulFp_Pipelined_8_23_941 |        264 |        264 |       0 |    0 |   108 |      0 |      0 |    0 |          2 |
|                 mulRecFn                                                                          |                                      bd_top_SpmvExp1_0_0_MulRecFN_Pipelined_8_24_942 |        264 |        264 |       0 |    0 |   108 |      0 |      0 |    0 |          2 |
|             multiply5                                                                             |                                                   bd_top_SpmvExp1_0_0_OpMultiply_921 |        263 |        263 |       0 |    0 |   108 |      0 |      0 |    0 |          2 |
|               module_0                                                                            |                                         bd_top_SpmvExp1_0_0_MulFp_Pipelined_8_23_935 |        263 |        263 |       0 |    0 |   108 |      0 |      0 |    0 |          2 |
|                 mulRecFn                                                                          |                                      bd_top_SpmvExp1_0_0_MulRecFN_Pipelined_8_24_936 |        263 |        263 |       0 |    0 |   108 |      0 |      0 |    0 |          2 |
|             multiply6                                                                             |                                                   bd_top_SpmvExp1_0_0_OpMultiply_922 |        263 |        263 |       0 |    0 |   108 |      0 |      0 |    0 |          2 |
|               module_0                                                                            |                                         bd_top_SpmvExp1_0_0_MulFp_Pipelined_8_23_929 |        263 |        263 |       0 |    0 |   108 |      0 |      0 |    0 |          2 |
|                 mulRecFn                                                                          |                                      bd_top_SpmvExp1_0_0_MulRecFN_Pipelined_8_24_930 |        263 |        263 |       0 |    0 |   108 |      0 |      0 |    0 |          2 |
|             multiply7                                                                             |                                                   bd_top_SpmvExp1_0_0_OpMultiply_923 |        337 |        337 |       0 |    0 |   124 |      0 |      0 |    0 |          2 |
|               module_0                                                                            |                                             bd_top_SpmvExp1_0_0_MulFp_Pipelined_8_23 |        337 |        337 |       0 |    0 |   124 |      0 |      0 |    0 |          2 |
|                 mulRecFn                                                                          |                                          bd_top_SpmvExp1_0_0_MulRecFN_Pipelined_8_24 |        337 |        337 |       0 |    0 |   124 |      0 |      0 |    0 |          2 |
|             wrapper                                                                               |                                                          bd_top_SpmvExp1_0_0_Wrapper |        155 |          6 |     148 |    1 |     9 |      0 |      0 |    0 |          0 |
|               (wrapper)                                                                           |                                                          bd_top_SpmvExp1_0_0_Wrapper |          1 |          0 |       0 |    1 |     1 |      0 |      0 |    0 |          0 |
|               ctr                                                                                 |                                                      bd_top_SpmvExp1_0_0_Counter_924 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|               qOutput                                                                             |                                               bd_top_SpmvExp1_0_0_Queue4_UInt256_925 |        152 |          4 |     148 |    0 |     5 |      0 |      0 |    0 |          0 |
|                 (qOutput)                                                                         |                                               bd_top_SpmvExp1_0_0_Queue4_UInt256_925 |          2 |          2 |       0 |    0 |     5 |      0 |      0 |    0 |          0 |
|                 ram_ext                                                                           |                                                    bd_top_SpmvExp1_0_0_ram_4x256_926 |        150 |          2 |     148 |    0 |     0 |      0 |      0 |    0 |          0 |
|           downsizerColumnIndices                                                                  |                                                 bd_top_SpmvExp1_0_0_DownsizeWithLast |         59 |         39 |      20 |    0 |     6 |      0 |      0 |    0 |          0 |
|             (downsizerColumnIndices)                                                              |                                                 bd_top_SpmvExp1_0_0_DownsizeWithLast |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             sinkBuffered__sinkBuffer                                                              |                                                bd_top_SpmvExp1_0_0_Queue2_DataLast_1 |         57 |         37 |      20 |    0 |     3 |      0 |      0 |    0 |          0 |
|               (sinkBuffered__sinkBuffer)                                                          |                                                bd_top_SpmvExp1_0_0_Queue2_DataLast_1 |          3 |          3 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|               ram_ext                                                                             |                                                         bd_top_SpmvExp1_0_0_ram_2x33 |         54 |         34 |      20 |    0 |     0 |      0 |      0 |    0 |          0 |
|           downsizerRowLengths                                                                     |                                                         bd_top_SpmvExp1_0_0_Downsize |         28 |          8 |      20 |    0 |     6 |      0 |      0 |    0 |          0 |
|             (downsizerRowLengths)                                                                 |                                                         bd_top_SpmvExp1_0_0_Downsize |          2 |          2 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
|             sinkBuffered__sinkBuffer                                                              |                                                bd_top_SpmvExp1_0_0_Queue2_UInt32_915 |         26 |          6 |      20 |    0 |     3 |      0 |      0 |    0 |          0 |
|               (sinkBuffered__sinkBuffer)                                                          |                                                bd_top_SpmvExp1_0_0_Queue2_UInt32_915 |          5 |          5 |       0 |    0 |     3 |      0 |      0 |    0 |          0 |
